snapshot,datasets
1624,20381
1630,21722
1640,16537
1650,18333
1701,18349
1711,19295
1721,19594
1731,20256
1742,20680
1751,20506
1801,20456
1811,21084
1821,19918
1830,20608
1839,21145
1849,18995

